T00	T01	T02	T03	T10	T11	T12	T13	T20	T21	T22	T23	T30	T31	T32	T33
1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
1	-6.3977e-08	0.000308998	-8.04296e-05	-1.45194e-07	1	0.000676934	-0.000331316	-0.000308998	-0.000676934	1	0.00132018	0	0	0	1
1	0.000523104	0.000340119	-0.00022208	-0.000523643	0.999999	0.00158757	-0.000881243	-0.000339289	-0.00158774	0.999999	0.00197212	0	0	0	1
1	0.000207746	0.000231683	-0.000222235	-0.000208207	0.999998	0.00199248	-0.00126733	-0.000231269	-0.00199253	0.999998	0.00216209	0	0	0	1
1	0.000229523	6.82032e-05	-0.000279485	-0.000229732	0.999995	0.00307631	-0.00214094	-6.74968e-05	-0.00307633	0.999995	0.00244637	0	0	0	1
1	0.000463094	-4.50386e-05	-0.000302061	-0.000462927	0.999993	0.00363877	-0.00302663	4.67233e-05	-0.00363875	0.999993	0.00236021	0	0	0	1
0.999999	0.00118182	-0.000517622	-0.000158192	-0.00117991	0.999993	0.00366838	-0.00354361	0.000521953	-0.00366777	0.999993	0.00161269	0	0	0	1
0.999999	0.000710664	-0.00073796	0.000107306	-0.000707754	0.999992	0.00393575	-0.00413896	0.000740751	-0.00393522	0.999992	0.00136276	0	0	0	1
0.999999	0.00127728	-0.000614028	0.000116073	-0.00127519	0.999993	0.00338255	-0.00412569	0.000618344	-0.00338176	0.999994	0.00121662	0	0	0	1
0.999998	0.00179323	-0.000735635	0.00020379	-0.0017909	0.999993	0.00314852	-0.00403606	0.000741277	-0.0031472	0.999995	0.000457054	0	0	0	1
0.999997	0.00241537	-0.000949202	0.000412628	-0.0024131	0.999994	0.00238528	-0.00316343	0.000954957	-0.00238298	0.999997	0.000113895	0	0	0	1
0.999995	0.00292568	-0.000748966	0.000336396	-0.00292364	0.999992	0.00271123	-0.00307547	0.000756892	-0.00270902	0.999996	0.000252413	0	0	0	1
0.999991	0.0041863	-0.00092188	0.000439925	-0.00418364	0.999987	0.00287327	-0.00300186	0.000933897	-0.00286938	0.999995	0.000433451	0	0	0	1
0.999986	0.00508868	-0.00119713	0.000846752	-0.00508481	0.999982	0.00321521	-0.00295431	0.00121347	-0.00320908	0.999994	0.000934427	0	0	0	1
0.99998	0.00619024	-0.00143485	0.0010801	-0.00618593	0.999976	0.00299473	-0.00271347	0.00145335	-0.00298579	0.999994	0.00101745	0	0	0	1
0.999986	0.00502283	-0.00133138	0.00120934	-0.00501858	0.999982	0.00317735	-0.00285757	0.00134732	-0.00317062	0.999994	0.00126594	0	0	0	1
0.999987	0.0049187	-0.00129895	0.00124967	-0.00491412	0.999982	0.00350979	-0.00335262	0.00131619	-0.00350337	0.999993	0.00138434	0	0	0	1
