v	w
0.005	0.296237
0.0095	0.562851
0.01355	0.802037
0.017195	1.01736
0.0204755	1.21149
0.023428	1.38677
0.0260852	1.54488
0.0284766	1.68846
0.030629	1.81819
0.0325661	1.93455
0.0343095	2.03954
0.0358785	2.58305
0.0372907	2.62315
0.0385616	2.65974
0.0397054	2.69333
0.0407349	2.72417
0.0416614	2.75156
0.0424953	2.77612
0.0432457	2.7971
0.0439212	2.81624
0.0445291	2.83402
0.0450761	2.85062
0.0455685	2.86541
0.0460117	2.87925
0.0464105	2.89131
0.0467695	2.90153
0.0470925	2.90998
0.0473833	2.91679
0.0476449	2.92267
0.0478804	2.92813
0.0480924	2.933
0.0482832	2.93717
0.0484548	2.94102
0.0486094	2.94466
0.0487484	2.94791
0.0488736	2.95055
0.0489862	2.95265
0.0490876	2.95384
0.0491788	2.95409
0.049261	2.95404
0.0493349	2.95491
0.0494014	2.9562
0.0494612	2.95783
0.0495151	2.96022
0.0495636	2.96418
0.0496072	2.96849
0.0496465	2.97242
0.0496819	2.97656
0.0497137	2.98092
0.0497423	2.985
0.0497681	2.98895
0.0497913	2.99308
0.0498121	2.99719
0.0498309	3.00106
0.0498478	3.0053
0.0498631	3.00926
0.0498767	3.01313
0.0498891	3.01684
0.0499002	3.01985
0.0499102	3.02243
0.0499191	3.02482
0.0499272	3.0269
0.0499345	3.02978
0.0499411	3.03228
0.0499469	3.035
0.0499522	3.03793
0.049957	3.04015
0.0499613	3.04124
0.0499652	3.04221
0.0499687	3.04388
0.0499718	3.04549
0.0499746	3.04758
0.0499772	3.0497
0.0499794	3.05206
0.0499815	3.05494
0.0499834	3.05755
0.049985	3.05971
0.0499865	3.0617
0.0499879	3.06324
0.0499891	3.06449
0.0499902	3.06766
0.0499912	3.07018
0.049992	3.0726
0.0499928	3.07478
0.0499936	3.07622
0.0499942	3.07787
0.0499948	3.08062
0.0499953	3.08294
0.0499958	3.08453
0.0499962	3.08667
0.0499966	3.08932
0.0499969	3.09221
0.0499972	3.0956
0.0499975	3.09923
0.0499978	3.1024
0.049998	3.10641
0.0499982	3.11035
0.0499984	3.11336
0.0499985	3.11618
0.0499987	3.11907
0.0499988	3.12177
0.0499989	3.12508
0.049999	3.12818
0.0499991	3.13145
0.0499992	3.13403
0.0499993	3.13649
0.0499994	3.13944
0.0499994	3.14217
0.0499995	3.144
0.0499995	3.14495
0.0499996	3.14583
0.0499996	3.14586
0.0499997	3.14563
0.0499997	3.14537
0.0499997	3.1453
0.0499998	3.14547
0.0499998	3.14536
0.0499998	3.14556
0.0499998	3.14585
0.0499998	3.14599
0.0499999	3.14582
0.0499999	3.1462
0.0499999	3.14634
0.0499999	3.14657
0.0499999	3.1469
0.0499999	3.14687
0.0499999	3.14726
0.0499999	3.14658
0.0499999	3.14577
