x	y	theta
0	0	0
0	0	0
0.00132018	8.04295e-05	-0.000308998
0.00197212	0.00022208	-0.000339704
0.00216209	0.000222235	-0.000231476
0.00244637	0.000279485	-6.78501e-05
0.00236021	0.000302061	4.58811e-05
0.00161269	0.000158192	0.000519789
0.00136276	-0.000107306	0.000739357
0.00121662	-0.000116073	0.000616187
0.000457054	-0.00020379	0.000738458
0.000113895	-0.000412628	0.000952081
0.000252413	-0.000336396	0.000752931
0.000433451	-0.000439925	0.000927893
0.000934427	-0.000846752	0.00120531
0.00101745	-0.0010801	0.00144411
0.00126594	-0.00120934	0.00133936
0.00138434	-0.00124967	0.00130758
0.00207357	-0.00120222	0.000909116
0.00237517	-0.00118304	0.000982617
0.00199773	-0.00132925	0.00120213
0.00143014	-0.00147212	0.00143845
0.000299256	-0.00154142	0.00141077
-0.00152172	-0.00144495	0.00161232
-0.00280177	-0.00132655	0.00149007
-0.00391787	-0.00110241	0.00126268
-0.00452094	-0.000668386	0.000945354
-0.00528691	-0.000419824	0.000663086
-0.00509094	-0.000433348	0.000579155
-0.00498225	-0.000576786	0.000651677
-0.00507498	-0.000697746	0.000661847
-0.00491721	-0.000880149	0.000622377
-0.00380867	-0.00107184	0.00065978
-0.00407744	-0.00151364	0.000791619
-0.00464164	-0.00159635	0.000810715
-0.005015	-0.00156061	0.00071966
-0.00493215	-0.00141902	0.000600211
-0.00561878	-0.00107304	0.000317297
-0.00559315	-0.000681117	-2.42022e-05
-0.00576519	-0.000324631	-0.000165755
-0.00569333	-0.000286198	0.000135884
-0.00555096	-0.000226713	0.000288626
-0.00538077	-3.64027e-05	0.000422116
-0.00559087	1.2346e-05	0.000730745
-0.00529442	-0.000623368	0.00143572
-0.00517735	-0.00104127	0.00175185
-0.00534186	-0.00135011	0.00183716
-0.00603434	-0.00154185	0.00207613
-0.00645821	-0.00171636	0.00231753
-0.00689487	-0.00165944	0.00236023
-0.00768781	-0.00152615	0.00245236
-0.00918525	-0.00122795	0.00263806
-0.0100675	-0.00105867	0.00277368
-0.010599	-0.00109812	0.0028609
-0.0111183	-0.00142394	0.00318996
-0.0111202	-0.00154688	0.00324527
-0.0105866	-0.00196097	0.00340486
